id,name,UMLS_CUI,def,MESH,is_a,subset,alt_id,OMIM,synonym,is_obsolete,created_by,creation_date
DOID:0040020,['cefotaxime allergy'],UMLS_CUI:C0571457,['A cephalosporin allergy that has_allergic_trigger cefotaxime.'],,['DOID:0040021 ! cephalosporin allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040021,['cephalosporin allergy'],UMLS_CUI:C0571444,['A drug allergy that has_allergic_trigger cephalosporin.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040022,['amodiaquine allergy'],UMLS_CUI:C0571303,['A drug allergy that has_allergic_trigger amodiaquine.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,"['Camoquin allergy', 'Flavoquine allergy']",,,
DOID:0040023,['cefaclor allergy'],UMLS_CUI:C0571453,['A cephalosporin allergy that has_allergic_trigger cefaclor.'],,['DOID:0040021 ! cephalosporin allergy'],['DO_IEDB_slim'],,,"['Ceclor allergy', 'cephaclor allergy']",,,
DOID:0040024,['ceftazidime allergy'],UMLS_CUI:C0571458,['A cephalosporin allergy that has_allergic_trigger ceftazidime.'],,['DOID:0040021 ! cephalosporin allergy'],['DO_IEDB_slim'],,,"['Fortaz allergy', 'Tazicef allergy']",,,
DOID:0040025,['cefuroxime allergy'],UMLS_CUI:C0571454,['A cephalosporin allergy that has_allergic_trigger cefuroxime.'],,['DOID:0040021 ! cephalosporin allergy'],['DO_IEDB_slim'],,,"['cephuroxime allergy', 'Zinacef allergy']",,,
DOID:0040026,['chlorhexidine allergy'],UMLS_CUI:C0571344,['A drug allergy that has_allergic_trigger chlorhexidine.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040027,['cyclophosphamide allergy'],UMLS_CUI:C0570670,['A drug allergy that has_allergic_trigger cyclophosphamide.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,['cytophosphane allergy'],,,
DOID:0040028,['succinylcholine allergy'],UMLS_CUI:C0571140,['A drug allergy that has_allergic_trigger succinylcholine.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,"['dicholine succinate allergy', 'succinocholine allergy', 'sux allergy', 'suxamethonium allergy']",,,
DOID:0040029,['trimethoprim allergy'],UMLS_CUI:C0571390,['A drug allergy that has_allergic_trigger trimethoprim.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,"['Primsol allergy', 'proloprim allergy', 'TMP allergy']",,,
DOID:0040030,['cefixime allergy'],UMLS_CUI:C0571460,['A cephalosporin allergy that has_allergic_trigger cefixime.'],,['DOID:0040021 ! cephalosporin allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040031,['diclofenac allergy'],UMLS_CUI:C0570540,['A drug allergy that has_allergic_trigger diclofenac.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,['Voltaren allergy'],,,
DOID:0040032,['carbapenem allergy'],UMLS_CUI:C0571443,['A drug allergy that has_allergic_trigger carbapenems.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040033,['piperacillin allergy'],UMLS_CUI:C0571427,['A beta-lactam allergy that has_allergic_trigger piperacillin.'],,['DOID:0060519 ! beta-lactam allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040034,['rocuronium allergy'],UMLS_CUI:C0571149,['A drug allergy that has_allergic_trigger rocuronium.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,"['Esmeron allergy', 'Zemuron allergy']",,,
DOID:0040035,['sulfasalazine allergy'],UMLS_CUI:C0570587,['A drug allergy that has_allergic_trigger sulfasalazine.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040036,['tubocurarine allergy'],UMLS_CUI:C0571147,['A drug allergy that has_allergic_trigger tubocurarine.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,['DTC allergy'],,,
DOID:0040037,['aztreonam allergy'],UMLS_CUI:C0571476,['A beta-lactam allergy that has_allergic_trigger aztreonam.'],,['DOID:0060519 ! beta-lactam allergy'],['DO_IEDB_slim'],,,"['Azactam allergy', 'Primbactam allergy']",,,
DOID:0040038,['meropenem allergy'],,['A beta-lactam allergy that has_allergic_trigger meropenem.'],,['DOID:0040041 ! isocyanates allergic asthma'],['DO_IEDB_slim'],,,['Merrem allergy'],,,
DOID:0040040,['hexamethylene diisocyanate allergic asthma'],,['An allergic asthma to isocyanates that has_allergic_trigger hexamethylene diisocyanate.'],,['DOID:0040041 ! isocyanates allergic asthma'],['DO_IEDB_slim'],,,"['allergic asthma to HDI', 'allergic asthma to HMDI']",,,
DOID:0040041,['isocyanates allergic asthma'],,['An allergic asthma that has_allergic_trigger isocyanates.'],,['DOID:9415 ! allergic asthma'],['DO_IEDB_slim'],,,,,,
DOID:0040042,"[""diphenylmethane-4,4'-diisocyanate allergic asthma""]",,"['An allergic asthma to isocyanates that has_allergic_trigger diphenylmethane-4,4-diisocyanate.']",,['DOID:0040041 ! isocyanates allergic asthma'],['DO_IEDB_slim'],,,['allergic asthma to MDI'],,,
DOID:0040043,['toluene meta-diisocyanate allergic asthma'],,['An allergic asthma to isocyanates that has_allergic_trigger toluene meta-diisocyanate.'],,['DOID:0040041 ! isocyanates allergic asthma'],['DO_IEDB_slim'],,,['allergic asthma to TDI'],,,
DOID:0040044,['methyl isocyanate allergic asthma'],,['An allergic asthma to isocyanates that has_allergic_trigger methyl isocyanate.'],,['DOID:0040041 ! isocyanates allergic asthma'],['DO_IEDB_slim'],,,['allergic asthma to MIC'],,,
DOID:0040045,['nickel allergic asthma'],,['An allergic asthma that has_allergic_trigger nickel atom.'],,"['DOID:0060501 ! metal allergy', 'DOID:9415 ! allergic asthma']",['DO_IEDB_slim'],,,['allergic asthma to Ni'],,,
DOID:0040046,['nickel allergic contact dermatitis'],,['An allergic contact dermatitis that has_allergic_trigger nickel atom.'],,"['DOID:0060501 ! metal allergy', 'DOID:3042 ! allergic contact dermatitis']",['DO_IEDB_slim'],,,['allergic contact dermatitis to Ni'],,,
DOID:0040047,['trimellitic anhydride allergic asthma'],,['An allergic asthma that has_allergic_trigger trimellitic anhydride.'],,['DOID:9415 ! allergic asthma'],['DO_IEDB_slim'],,,['allergic asthma to TMA'],,,
DOID:0040048,['phthalic anhydride allergic asthma'],,['An allergic asthma that has_allergic_trigger phthalic anhydride.'],,['DOID:9415 ! allergic asthma'],['DO_IEDB_slim'],,,,,,
DOID:0040049,['maleic anhydride allergic asthma'],,['An allergic asthma that has_allergic_trigger maleic anhydride.'],,['DOID:9415 ! allergic asthma'],['DO_IEDB_slim'],,,['allergic asthma to MA'],,,
DOID:0040050,['tetrachlorophthalic anhydride allergic asthma'],,['An allergic asthma that has_allergic_trigger tetrachlorophthalic anhydride.'],,['DOID:9415 ! allergic asthma'],['DO_IEDB_slim'],,,,,,
DOID:0040051,['hexahydrophthalic anhydride allergic asthma'],,['An allergic asthma that has_allergic_trigger hexahydrophthalic anhydride.'],,['DOID:9415 ! allergic asthma'],['DO_IEDB_slim'],,,['allergic asthma to HHPA'],,,
DOID:0040052,"[""diphenylmethane-4,4'-diisocyanate allergic contact dermatitis""]",,"['An allergic contact dermatitis that has_allergic_trigger diphenylmethane-4,4-diisocyanate.']",,['DOID:3042 ! allergic contact dermatitis'],['DO_IEDB_slim'],,,['allergic contact dermatitis to MDI'],,,
DOID:0040053,['cobalt allergic contact dermatitis'],,['An allergic contact dermatitis that has_allergic_trigger cobalt atom.'],,"['DOID:0060501 ! metal allergy', 'DOID:3042 ! allergic contact dermatitis']",['DO_IEDB_slim'],,,['allergic contact dermatitis to Co'],,,
DOID:0040054,['cobalt allergic asthma'],,['An allergic asthma that has_allergic_trigger cobalt atom.'],,"['DOID:0060501 ! metal allergy', 'DOID:9415 ! allergic asthma']",['DO_IEDB_slim'],,,['Co allergic asthma'],,,
DOID:0040055,['palladium allergic contact dermatitis'],,['An allergic contact dermatitis that has_allergic_trigger palladium.'],,"['DOID:0060501 ! metal allergy', 'DOID:3042 ! allergic contact dermatitis']",['DO_IEDB_slim'],,,['allergic contact dermatitis to Pd'],,,
DOID:0040056,['chromium allergic contact dermatitis'],,['An allergic contact dermatitis that has_allergic_trigger chromium atom.'],,"['DOID:0060501 ! metal allergy', 'DOID:3042 ! allergic contact dermatitis']",['DO_IEDB_slim'],,,,,,
DOID:0040057,['benzoic acid allergic contact dermatitis'],UMLS_CUI:C0571102,['An allergic contact dermatitis that has_allergic_trigger benzoic acid.'],,['DOID:3042 ! allergic contact dermatitis'],['DO_IEDB_slim'],,,['allergic contact dermatitis to benzoate'],,,
DOID:0040058,"['1,4-phenylenediamine allergic contact dermatitis']",,"['An allergic contact dermatitis that has_allergic_trigger 1,4-phenylenediamine.']",,['DOID:3042 ! allergic contact dermatitis'],['DO_IEDB_slim'],,,"['allergic contact dermatitis to p-phenylenediamine', 'allergic contact dermatitis to PPD']",,,
DOID:0040059,['potassium dichromate allergic contact dermatitis'],,['An allergic contact dermatitis that has_allergic_trigger potassium dichromate.'],,"['DOID:0060501 ! metal allergy', 'DOID:3042 ! allergic contact dermatitis']",['DO_IEDB_slim'],,,,,,
DOID:0040060,['ketoprofen photoallergic dermatitis'],UMLS_CUI:C0570547,['A photoallergic dermatitis that has_allergic_trigger ketoprofen.'],,"['DOID:0060500 ! drug allergy', 'DOID:3818 ! photoallergic dermatitis']",['DO_IEDB_slim'],,,['photoallergic dermatitis to Orudis'],,,
DOID:0040061,['remazole black respiratory allergy'],,['A respiratory allergy that has_allergic_trigger remazole black-GR.'],,"['DOID:0060496 ! respiratory allergy', 'DOID:0060501 ! metal allergy']",['DO_IEDB_slim'],,,['respiratory allergy to Reactive Black 5'],,,
DOID:0040062,['chloramine T respiratory allergy'],,['A respiratory allergy that has_allergic_trigger chloramine T.'],,"['DOID:0060496 ! respiratory allergy', 'DOID:0060501 ! metal allergy']",['DO_IEDB_slim'],,,"['respiratory allergy to Chloraseptin', 'respiratory allergy to Chlorazol', 'respiratory allergy to Trichlorol']",,,
DOID:0040063,['4-vinylcyclohexene dioxide respiratory allergy'],,['A respiratory allergy that has_allergic_trigger 4-vinylcyclohexene dioxide.'],,['DOID:0060496 ! respiratory allergy'],['DO_IEDB_slim'],,,['respiratory allergy to vinyl cyclohexene diepoxide'],,,
DOID:0040064,['carvone allergic contact dermatitis'],,['An allergic contact dermatitis that has_allergic_trigger (-)-carvone.'],,['DOID:3042 ! allergic contact dermatitis'],['DO_IEDB_slim'],,,['allergic contact dermatitis to levo-carvone'],,,
DOID:0040065,['quinidine allergy'],UMLS_CUI:C0571881,['A drug allergy that has_allergic_trigger quinidine.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,['Kinidin allergy'],,,
DOID:0040066,['melphalan allergy'],UMLS_CUI:C0570673,['A drug allergy that has_allergic_trigger melphalan.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,['Alkeran allergy'],,,
DOID:0040067,['neomycin sulfate allergic contact dermatitis'],UMLS_CUI:C1443961,['An allergic contact dermatitis that has_allergic_trigger neomycin sulfate.'],,"['DOID:0060500 ! drug allergy', 'DOID:3042 ! allergic contact dermatitis']",['DO_IEDB_slim'],,,['allergic contact dermatitis to neomycin sulphate'],,,
DOID:0040068,['4-tert-butylphenol allergic contact dermatitis'],,['An allergic contact dermatitis that has_allergic_trigger 4-tert-butylphenol.'],,['DOID:3042 ! allergic contact dermatitis'],['DO_IEDB_slim'],,,"['allergic contact dermatitis to butylphen', 'allergic contact dermatitis to PTBP']",,,
DOID:0040069,"['1-chloro-2,4-dinitrobenzene allergic contact dermatitis']",,"['An allergic contact dermatitis that has_allergic_trigger 1-chloro-2,4-dinitrobenzene.']",,['DOID:3042 ! allergic contact dermatitis'],['DO_IEDB_slim'],,,"['allergic contact dermatitis to dinitrochlorobenzene', 'allergic contact dermatitis to DNCB']",,,
DOID:0040070,['co-trimoxazole allergy'],UMLS_CUI:C0571504,['A drug allergy that has_allergic_trigger co-trimoxazole.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,"['Bactrim allergy', 'cotrimoxazol allergy', 'TMP/SMX allergy', 'trimethoprim/sulfamethoxazole allergy']",,,
DOID:0040071,['sodium aurothiomalate allergy'],UMLS_CUI:C0571155,['A drug allergy that has_allergic_trigger sodium aurothiomalate.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,['gold sodium thiomalate allergy'],,,
DOID:0040072,['parthenolide allergic contact dermatitis'],,['An allergic contact dermatitis that has_allergic_trigger parthenolide.'],,['DOID:3042 ! allergic contact dermatitis'],['DO_IEDB_slim'],,,['allergic contact dermatitis to feverfew'],,,
DOID:0040073,['disodium cromoglycate allergy'],,['A drug allergy that has_allergic_trigger disodium cromoglycate.'],,"['DOID:0060500 ! drug allergy', 'DOID:0060501 ! metal allergy']",['DO_IEDB_slim'],,,['DSCG allergy'],,,
DOID:0040074,['formaldehyde allergic contact dermatitis'],UMLS_CUI:C0571339,['An allergic contact dermatitis that has_allergic_trigger formaldehyde.'],,['DOID:3042 ! allergic contact dermatitis'],['DO_IEDB_slim'],,,['allergic contact dermatitis to formalin'],,,
DOID:0040075,['benzo[d]isothiazol-3-one allergic contact dermatitis'],,['An allergic contact dermatitis that has_allergic_trigger benzo[d]isothiazol-3-one.'],,['DOID:3042 ! allergic contact dermatitis'],['DO_IEDB_slim'],,,"['allergic contact dermatitis to benzisothiazolone', 'allergic contact dermatitis to BIT']",,,
DOID:0040076,['phthalyl group allergy'],UMLS_CUI:C0571482,['A drug allergy that has_allergic_trigger phthalyl group.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,['phthalyl allergy'],,,
DOID:0040077,['alcuronium bromide allergy'],,['A drug allergy that has_allergic_trigger alcuronium bromide.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040078,['gallamine allergy'],UMLS_CUI:C0571145,['A drug allergy that has_allergic_trigger gallamine.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040079,"['2,4-dinitrophenyl allergic contact dermatitis']",,"['An allergic contact dermatitis that has_allergic_trigger 2,4-dinitrophenyl group.']",,['DOID:3042 ! allergic contact dermatitis'],['DO_IEDB_slim'],,,['allergic contact dermatitis to DNP'],,,
DOID:0040080,['patent blue V allergy'],,['A drug allergy that has_allergic_trigger patent blue V.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040081,['acid anhydride respiratory allergy'],,['A respiratory allergy that has_allergic_trigger acid anhydride.'],,['DOID:0060496 ! respiratory allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040082,['oxirane allergy'],,['A drug allergy that has_allergic_trigger oxirane.'],,['DOID:0060500 ! drug allergy'],['DO_IEDB_slim'],,,"['ethylene oxide allergy', 'ETO allergy']",,,
DOID:0040083,['Chlamydia pneumonia'],,['A bacterial pneumonia has_material_basis_in Chlamydia pneumoniae.'],,['DOID:874 ! bacterial pneumonia'],['DO_IEDB_slim'],,,,,,
DOID:0040084,['Streptococcus pneumonia'],,['A bacterial pneumonia has_material_basis_in Streptococcus pneumoniae.'],,['DOID:874 ! bacterial pneumonia'],['DO_IEDB_slim'],,,,,,
DOID:0040085,['bacterial sepsis'],,['A bacterial infectious disease has_material_basis_in Bacteria.'],,['DOID:104 ! bacterial infectious disease'],['DO_IEDB_slim'],,,,,,
DOID:0040086,['Polyomavirus-associated nephropathy'],UMLS_CUI:C1697878,['A viral infectious disease has_material_basis_in BK polyomavirus.'],,['DOID:11266 ! Hantavirus hemorrhagic fever with renal syndrome'],['DO_IEDB_slim'],,,"['polyomavirus associated nephropathy', 'PVAN']",,,
DOID:0040087,['autoimmune peripheral neuropathy'],,['An autoimmune disease of peripheral nervous system that results in peripheral neuropathy.'],,['DOID:0060033 ! autoimmune disease of peripheral nervous system'],['DO_IEDB_slim'],,,,,,
DOID:0040088,['autoimmune uveitis'],,"['An autoimmune disease of eyes, ear, nose and throat that is located_in the uvea.']",,"['DOID:0060030 ! autoimmune disease of eyes, ear, nose and throat', 'DOID:3480 ! uveal disease']",['DO_IEDB_slim'],,,,,,
DOID:0040089,['autoimmune optic neuritis'],,['An autoimmune disease of peripheral nervous system that is located_in the neuron projection bundle connecting eye with brain.'],,['DOID:0060033 ! autoimmune disease of peripheral nervous system'],['DO_IEDB_slim'],,,,,,
DOID:0040090,['autoimmune gastritis'],,['An autoimmune disease of gastrointestinal tract that is located_in the stomach.'],,"['DOID:0060031 ! autoimmune disease of gastrointestinal tract', 'DOID:76 ! stomach disease']",['DO_IEDB_slim'],,,,,,
DOID:0040091,['autoimmune pancreatitis'],UMLS_CUI:C2609129,['An autoimmune disease of endocrine system that is located_in the pancreas.'],MESH:D000081012,"['DOID:0060005 ! autoimmune disease of endocrine system', 'DOID:26 ! pancreas disease']",['DO_IEDB_slim'],,,,,,
DOID:0040092,['juvenile ankylosing spondylitis'],UMLS_CUI:C0409675,['An autoimmune disease of musculoskeletal system that is an ankylosing spondylitis with onset during childhood.'],,['DOID:0060032 ! autoimmune disease of musculoskeletal system'],['DO_IEDB_slim'],,,,,,
DOID:0040093,['drug-induced lupus erythematosus'],UMLS_CUI:C0263591,['A lupus erythematosus caused by chronic use of certain drugs.'],,['DOID:8857 ! lupus erythematosus'],['DO_IEDB_slim'],,,"['DIL', 'DILE']",,,
DOID:0040094,['autoimmune glomerulonephritis'],,['An autoimmune disease of urogenital tract that is located_in the renal glomerulus.'],,['DOID:0060049 ! autoimmune disease of urogenital tract'],['DO_IEDB_slim'],['DOID:0050146'],,,,,
DOID:0040095,['autoimmune cardiomyopathy'],,['An autoimmune disease of cardiovascular system that is characterized by deterioration of the function of the heart muscle.'],,"['DOID:0060051 ! autoimmune disease of cardiovascular system', 'DOID:114 ! heart disease']",['DO_IEDB_slim'],,,,,,
DOID:0040096,['autoimmune atherosclerosis'],,['An autoimmune disease of cardiovascular system that is characterized by a build up of plaque in the arteries.'],,['DOID:0060051 ! autoimmune disease of cardiovascular system'],['DO_IEDB_slim'],,,,,,
DOID:0040097,['autoimmune vasculitis'],UMLS_CUI:C1328843,['An autoimmune disease of cardiovascular system that is characterized by inflammation of the blood vessels.'],,['DOID:0060051 ! autoimmune disease of cardiovascular system'],['DO_IEDB_slim'],,,,,,
DOID:0040098,['pemphigus gestationis'],,['An autoimmune disease of skin and connective tissue that is characterized by blistered skin as a result of self-reactive T and B cells that target BP180.'],MESH:D006559,['DOID:0060039 ! autoimmune disease of skin and connective tissue'],['DO_IEDB_slim'],,,,,,
DOID:0040099,['livedoid vasculitis'],,['A vasculitis with purpuric ulcers.'],,['DOID:865 ! vasculitis'],['DO_IEDB_slim'],,,['livedoid vasculopathy'],,,
DOID:0040100,['Hirata disease'],UMLS_CUI:C0854359,['An autoimmune disease of endocrine system characterized by hypoglycemia caused by antibodies to insulin.'],,['DOID:0060005 ! autoimmune disease of endocrine system'],['DO_IEDB_slim'],,,['insulin autoimmune syndrome'],,,
DOID:0040101,"[""N,N'-diphenylthiourea allergic contact dermatitis""]",,"['An allergic contact dermatitis that has_allergic_trigger N,N-diphenylthiourea.']",,['DOID:3042 ! allergic contact dermatitis'],['DO_IEDB_slim'],,,['neoprene allergy'],,,
DOID:0040102,"[""N,N'-diethylthiourea allergic contact dermatitis""]",,"['An allergic contact dermatitis that has_allergic_trigger N,N-diethylthiourea.']",,['DOID:3042 ! allergic contact dermatitis'],['DO_IEDB_slim'],,,['neoprene allergy'],,,
DOID:0040103,['cefotiam allergy'],,['A cephalosporin allergy that has_allergic_trigger cefotiam.'],,['DOID:0040021 ! cephalosporin allergy'],['DO_IEDB_slim'],,,,,,
DOID:0040104,"['toluene 2,4-diisocyanate allergic asthma']",,"['An allergic asthma to isocyanates that has_allergic_trigger toluene 2,4-diisocyanate.']",,['DOID:0040043 ! toluene meta-diisocyanate allergic asthma'],['DO_IEDB_slim'],,,,,,
DOID:0050001,['obsolete Actinomadura madurae infectious disease'],,,,,['gram-positive_bacterial_infectious_disease'],,,,['true'],,
DOID:0050002,['obsolete Actinomadura pelletieri infectious disease'],,,,,['gram-positive_bacterial_infectious_disease'],,,,['true'],,
DOID:0050003,['obsolete Streptomyces somaliensis infectious disease'],,,,,['gram-positive_bacterial_infectious_disease'],,,,['true'],,
DOID:0050004,['seminal vesicle acute gonorrhea'],UMLS_CUI:C0578661,"['A gonococcal seminal vesiculitis that is characterized by back pain, perineal pain, pain with ejaculation, hematospermia and voiding symptoms resulting from inflammation located_in the seminal vesicles caused by Neisseria gonorrhoeae infection.']",,['DOID:10400 ! gonococcal seminal vesiculitis'],,,,,,,
DOID:0050007,['obsolete cutaneous strongyloidiasis'],,"['A strongyloidiasis that involves parasitic infection by the filariform larvae of Strongyloides stercoralis, which penetrate the human skin causing urticarial rashes in the buttocks and waist areas.']",,,,,,,['true'],,
DOID:0050009,['obsolete intestinal strongyloidiasis'],,"['A strongyloidiasis that involves infection of intestine with Strongyloides stercoralis, which results in abdominal pain, diarrhea, ileus, massive gastrointestinal bleeding, severe malabsorption, and peritonitis.']",,,,,,,['true'],,
DOID:0050010,['obsolete Mansonella perstans infectious disease'],,"['A mansonelliasis that involves parasitic infection by the nematode Mansonella perstans, which resides in body cavities and the surrounding tissues causing angioedema, pruritus, fever, headaches, arthralgias, and neurologic manifestations. Midges transmit the disease.']",,,,,,,['true'],,
DOID:0050011,['obsolete Mansonella streptocerca infectious disease'],,"['A mansonelliasis that involves parasitic infection by the nematode Mansonella streptocerca, which resides in the dermis and subcutaneous tissue causing pruritus, papular eruptions and pigmentation changes. Midges transmit the disease.']",,,['zoonotic_infectious_disease'],,,,['true'],,
DOID:0050012,['chikungunya'],,"['A viral infectious disease that results_in infection located_in joint, has_material_basis_in Chikungunya virus, which is transmitted_by Aedes mosquito bite. The infection has_symptom fever, has_symptom arthralgia, and has_symptom maculopapular rash.']",,['DOID:934 ! viral infectious disease'],['zoonotic_infectious_disease'],,,['Chikungunya fever'],,,
DOID:0050013,['carbohydrate metabolism disease'],,['An acquired metabolic disease that is characterized by abnormal carbohydrate metabolism.'],,['DOID:0060158 ! acquired metabolic disease'],['DO_FlyBase_slim'],,,,,,
DOID:0050014,['obsolete epizootic hemorrhagic disease'],,"['A viral infectious disease that results_in infection in deer, has_material_basis_in Epizootic hemorrhagic disease virus, which is transmitted_by Culicoides biting midges. The infection has_symptom hemorrhages in many tissues including the skin, heart, and gastrointestinal tract, and has_symptom ulcers of the tongue, dental pad, palate, rumen, and omasum.']",,,,,,['EHD'],['true'],,
